序號,用户故事編號,用戶故事描述
001,US-5.1.1.1,作为新用户，我希望用微信一键登录，以便快速开始使用小程序
002,US-5.1.1.2,作为老用户，我希望再次访问时自动登录，以便无缝继续购物
003,US-5.1.2.1,作为会员用户，我希望查看我的积分和等级，以便了解我的权益
004,US-5.1.2.2,作为用户，我希望查看消费记录，以便了解我的购买历史
005,US-5.2.1.1,作为用户，我希望按分类浏览商品，以便快速找到想要的酒类
006,US-5.2.1.2,作为用户，我希望看到商品的主图和价格，以便快速比较
007,US-5.4.1.1,作为用户，我希望快速完成下单，以便尽快收到商品
008,US-5.8.1,作为会员，我希望登录小程序时授权手机号，以便完成身份绑定与后续下单履约。
009,US-5.9.1,作为会员，我希望门店支持一天多个营业时间段，以便在真实营业时段选择自取。
010,US-5.10.1,作为会员，我希望商品列表对沽清与库存（含预扣）进行校验，以便不下无法供应的订单。
011,US-5.10.2,作为会员，我希望按「一级分类名+其下商品」「二级分类名+其下商品」层级浏览。
012,US-5.10.3,作为会员，我希望在商品列表/详情看到我可用的最优优惠券名称。
013,US-5.11.1,作为会员，我希望确认订单时看到可用与不可用券列表及不可用原因，以便选择优惠。
014,US-5.11.2,作为会员，我希望在个人中心查看有效、历史与过期优惠券。
015,US-5.12.1,作为会员，我希望生成代表我会员身份的二维码，以便到店被店员扫码识别。
016,US-5.13.1,作为会员，我希望确认订单/购物车再次校验沽清与预扣库存，以便提交有效订单。
017,US-5.13.2,作为会员，我希望查看结账详情并完成微信付款；支付失败时生成待支付订单，15 分钟未付自动超时取消。
018,US-5.13.3,作为会员，我希望支付成功后订单进入待制作、清预扣并扣减真实库存，以便门店备货且账实一致。
019,US-5.13.4,作为会员，我希望待取订单随制作/出餐进度显示状态文案与超时提示，以便知道何时取餐及超时后果。
020,US-5.13.5,作为会员，我希望取消待支付订单或订单超时取消时库存被退回，以便库存可被他人购买。
021,US-5.13.6,作为会员，我希望出餐后满 48 小时未取的订单自动完成收口。
022,US-5.14.1,作为会员，我希望在优惠券列表看到每张券的适用门店信息，以便判断该券能否在我要下单的门店使用。
023,US-5.15.1,作为会员，我希望看到分类图标、富文本和标签（后台可开关），以便更直观地浏览菜单。
024,US-5.15.2,作为会员，我希望商品列表的最优券推荐按「优惠金额→最快到期→券类型」规则排序，以便优先看到对我最划算且快过期的券。
025,US-5.15.3,作为会员，我希望在系统套餐分类下看到各套餐促销活动及其套餐组/商品明细，以便直接选购套餐。
026,US-5.16.1,作为会员，我希望在购物车/确认订单里按套餐组选购套餐，以便享受套餐促销。
027,US-5.16.2,作为会员，我希望确认订单自动计算促销活动优惠、打包费（自提无服务费），并看到优惠金额与应付金额。
028,US-5.16.3,作为会员，我希望固价商品不被任何优惠影响，以便价格清晰可信。
029,US-5.17.1,作为会员，我希望订单列表按全部/自提/外卖/门店/其他分类查看，并看到分类标签，以便快速找到订单。
030,US-5.17.2,作为会员，我希望订单详情菜单默认收起、超过 2 个商品时展开查看，并清楚看到套餐构成与各项费用。
031,US-6.1.1,作为店员/店长，我希望用账号登录绑定到特定门店的点单 App，以便只操作我所属门店的点单与履约。
032,US-6.2.1,作为店员，我希望看到已配置的分类列表，以便按分类找点单商品。
033,US-6.2.2,作为店员，我希望看到一级分类及其二级分类下的商品，以便两级快速选品。
034,US-6.2.3,作为店员，我希望按商品名称并结合分类搜索，以便在大量商品中定位。
035,US-6.2.4,作为店员，我希望商品列表自动校验沽清/售罄，以便不卖无法供应的商品。
036,US-6.2.5,作为店员，我希望在商品上看到当前会员可用的一张最优券名称，以便促进成交。
037,US-6.3.1,作为店员，我希望用电话号码搜索会员用户，以便下单前确定顾客身份。(电话号码搜索会员只作为内部测试阶段用，上线后将删除这个功能，只保留扫码确认会员)
038,US-6.3.2,作为店员，我希望扫描顾客小程序会员码确定会员，以便免手输快速识别。
039,US-6.3.3,作为店员，我希望查看当前购物车该会员可用的优惠券列表，以便结账时选用最合适的券。
040,US-6.4.1,作为店员，我希望在购物车中区分堂食/外带、增删商品、选规格属性、调数量，并受库存（含预扣）与沽清约束，以便准确录单。
041,US-6.5.1,作为店员，我希望在结账页核对商品、整单备注、价格明细与会员，选择支付方式，并打印交易小票和厨打小票，以便完成收银出票。
042,US-6.6.1,作为店员，我希望按制作状态跟进订单，并在正确状态看到「提前制作/完成制作出餐/完成取单」按钮，以便驱动出餐流程。
043,US-6.6.2,作为店员，我希望查看制作订单的完整详情（含客户、支付、结账详情、退单列表），以便核对内容。
044,US-6.7.1,作为店员，我希望按状态查看本门店订单列表与详情，以便管理全部订单。
045,US-6.7.2,作为店员，我希望区分「仅退款」与「退货退款」处理退单，以便正确退款并处理库存与优惠券。
046,US-6.7.3,作为店员，我希望对已结账订单补打结账单，以便应对小票遗失或打印失败。
047,US-6.8.1,作为店员，我希望用手机号搜索会员，以便快速定位顾客。
048,US-6.8.2,作为店员，我希望查看会员详细信息、积分、优惠券与消费记录，以便提供会员服务。
049,US-6.8.3,作为店员，我希望仅凭电话号码新增会员，以便把到店新顾客纳入会员体系。
050,US-6.8.4,作为店员，我希望扫码小程序会员码确定会员，以便快速打开会员信息。
051,US-6.9.1,作为店员，我希望按顾客/酒名/手机号搜索存酒列表，以便快速找到寄存记录。
052,US-6.9.2,作为店员，我希望按「全部/即将到期/寄存中/已取出/已过期」统计存酒，以便跟进临期酒。
053,US-6.9.3,作为店员，我希望录入顾客信息与酒品信息（含酒标照片）新建存酒，以便建立寄存凭证。
054,US-6.9.4,作为店员，我希望打印存酒凭证，以便给顾客取酒凭据。
055,US-6.9.5,作为店员，我希望查看存酒详情，以便核对与办理取酒。
056,US-6.10.1,作为店员，我希望查看未沽清/已沽清商品统计，以便掌握停售情况。
057,US-6.10.2,作为店员，我希望对未沽清的商品规格进行沽清，以便即时停售售缺商品。
058,US-6.10.3,作为店员，我希望对已沽清的商品规格恢复售卖，以便补货后重新开售。
