Title,Description,Work Item Type,Area Path,Iteration Path,Assigned To,State
5.1.1.1 (UL-001) 微信授权登录,[P0] 调起微信授权，获取用户信息,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.1.2 (UL-002) 手机号绑定,[P0] 授权后引导绑定手机号,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.1.3 (UL-003) 自动登录,[P1] 再次进入小程序自动登录,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.1.4 (UL-004) 退出登录,[P1] 清除本地登录状态,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.2.1 (UM-001) 会员信息展示,[P1] 等级、积分、有效期,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.2.2 (UM-002) 会员权益说明,[P1] 各级别权益列表,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.2.3 (UM-003) 消费记录查询,[P1] 历史订单列表,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.2.4 (UM-004) 积分明细,[P2] 积分获取/使用记录,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.1.2.5 (UM-005) 会员升级,[P2] 消费自动累计升级,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.1.1 (PC-001) 一级分类展示,[P0] 白酒、红酒、洋酒等,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.1.2 (PC-002) 二级分类筛选,[P0] 品牌、香型、度数等,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.1.3 (PC-003) 商品列表,[P0] 卡片式展示，图 + 名 + 价,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.1.4 (PC-004) 排序功能,[P1] 销量、价格、新品,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.1.5 (PC-005) 商品标签,[P2] 热销、新品、特价,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.2.1 (PS-001) 关键词搜索,[P0] 支持商品名、品牌搜索,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.2.2 (PS-002) 搜索历史,[P2] 展示最近搜索记录,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.2.3 (PS-003) 热门搜索,[P2] 展示热门搜索词,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.2.4 (PS-004) 搜索建议,[P2] 输入时联想建议,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.1 (PD-001) 商品图片轮播,[P0] 支持多图滑动查看,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.2 (PD-002) 商品基本信息,[P0] 名称、规格、度数、产地,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.3 (PD-003) 商品价格,[P0] 现价、原价 (如有折扣),Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.4 (PD-004) 商品详情描述,[P0] 图文详情,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.5 (PD-005) 库存状态,[P1] 有货/缺货提示,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.6 (PD-006) 加入购物车,[P1] 快速添加到购物车,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.7 (PD-007) 立即购买,[P1] 直接下单,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.2.3.8 (PD-008) 收藏商品,[P2] 加入收藏夹,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.3.1.1 (SC-001) 添加商品,[P1] 从商品页或列表添加,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.3.1.2 (SC-002) 数量调整,[P1] 加减或输入数量,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.3.1.3 (SC-003) 删除商品,[P1] 单选/批量删除,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.3.1.4 (SC-004) 全选结算,[P1] 一键全选,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.3.1.5 (SC-005) 价格计算,[P1] 实时计算总价,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.3.1.6 (SC-006) 失效商品,[P1] 下架商品提示,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.1 (OC-001) 确认订单信息,[P1] 商品清单、数量、金额,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.2 (OC-002) 选择履约方式,[P1] 自提/配送,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.3 (OC-003) 选择自提门店,[P1] 门店列表 + 地图,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.4 (OC-004) 预约取货时间,[P1] 可选时间段,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.5 (OC-005) 配送地址管理,[P2] 新增/编辑/选择,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.6 (OC-006) 使用优惠券,[P2] 可用优惠券选择,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.7 (OC-007) 订单备注,[P1] 填写备注信息,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.8 (OC-008) 运费计算,[P2] 自动计算运费,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.1.9 (OC-009) 提交订单,[P1] 生成订单,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.2.1 (OP-001) 调起微信支付,[P2] 支付弹窗,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.4.2.2 (OP-002) 支付结果回调,[P2] 支付成功/失败处理,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.4.2.3 (OP-003) 支付超时,[P2] 超时自动取消订单,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.4.2.4 (OP-004) 支付凭证,[P2] 支付成功页面,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.4.3.1 (OQ-001) 订单列表,[P1] 全部/待支付/待自提/已完成,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.3.2 (OQ-002) 订单详情,[P1] 完整订单信息,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.3.3 (OQ-003) 订单状态跟踪,[P1] 状态流转展示,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.3.4 (OQ-004) 订单搜索,[P1] 按订单号搜索,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.4.1 (OX-001) 未支付订单取消,[P1] 无需理由,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.4.2 (OX-002) 已支付订单取消,[P1] 需审核/退款流程,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.4.4.3 (OX-003) 取消原因选择,[P2] 可选原因,Task,Peterson,Peterson\Sprint 1,teresa.mo,New
5.5.1.1 (PF-001) 选择自提门店,[P1] 列表/地图选择,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.5.1.2 (PF-002) 预约取货时间,[P1] 可选时间段,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.5.1.3 (PF-003) 自提码生成,[P1] 订单完成后生成,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.5.1.4 (PF-004) 自提核销,[P1] 店员扫码核销,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.5.2.1 (PD-001) 配送范围判断,[P2] 地址是否在配送范围,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.5.2.2 (PD-002) 运费计算,[P2] 距离/重量计算,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.5.2.3 (PD-003) 配送进度,[P2] 骑手位置跟踪,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.1.1 (PM-001) 优惠券领取,[P2] 点击领取到账户,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.1.2 (PM-002) 我的优惠券,[P1] 可用/已用/过期,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.1.3 (PM-003) 优惠券使用,[P2] 下单时自动抵扣,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.1.4 (PM-004) 优惠券说明,[P2] 使用条件、有效期,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.2.1 (PD-001) 活动页面展示,[P2] 活动 banner、列表,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.2.2 (PD-002) 限时折扣,[P2] 倒计时、折扣价,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.2.3 (PD-003) 满减活动,[P2] 满 X 减 Y,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.6.2.4 (PD-004) 组合优惠,[P2] 套装优惠价,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.7.1.1 (CS-001) 微信客服对接,[P2] 调起微信客服会话,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.7.1.2 (CS-002) 常见问题,[P2] FAQ 列表,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.7.1.3 (CS-003) 联系电话,[P2] 一键拨打,Task,Peterson,Peterson\Sprint 2,teresa.mo,New
5.8.1 (MP-LOGIN-01) 登录授权手机号,[P2] 未授权时引导授权、拒绝时友好提示；授权后手机号与账号绑定并持久登录；异常可重试、状态可回滚,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.9.1 (MP-STORE-01) 多时段营业时间展示,[P2] 支持一天多时段及按周（周一~周日）配置；非营业时段不可下单/自取；后台配置变更实时生效,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.10.1 (MP-PROD-01) 沽清+预扣库存校验,[P2] 规格沽清或「库存−预扣≤0」显示售罄；售罄不可加车/结算/支付；待支付订单占用预扣库存,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.10.2 (MP-PROD-02) 两级分类展示,[P2] 一级分类名+直属商品、二级分类名+各自商品均正确展示；直属一级分类商品不遗漏；切换流畅,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.10.3 (MP-PROD-03) 商品最优券角标,[P2] 仅展示线上场景、对当前会员可用且优惠最大的一张券；售罄商品不展示券角标,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.11.1 (MP-COUPON-01) 确认订单券列表,[P2] 可用/不可用分组展示，不可用附原因（门槛/范围/时段/过期）；选券后金额实时试算；下单时二次校验，过期/变更不可再用,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.11.2 (MP-COUPON-02) 个人中心优惠券,[P2] 有效/历史/过期三态准确；券面展示门槛、面额/折扣、有效期、适用范围；空状态引导领券,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.12.1 (MP-USER-01) 会员标识二维码,[P2] 二维码唯一标识会员，POS 扫码可定位（对应 POS-MEM-02/POS-MBR-04）；码具时效/签名并定时刷新；未登录不可生成,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
